Geneid	Case1	Case2	Control1	Control2
ENSG00000279670.1	0	0	0	0
ENSG00000264801.1	0	0	0	0
ENSG00000224854.3	0	0	0	0
ENSG00000147889.18	0	0	0	0
ENSG00000240498.9	110	22	0	279
ENSG00000266446.1	0	0	0	0
ENSG00000147883.12	0	0	0	0
ENSG00000215221.2	0	0	0	0
ENSG00000274055.1	0	0	0	0
ENSG00000277653.1	0	0	0	0
ENSG00000236921.1	10	0	32	0
ENSG00000176399.4	0	0	0	0
ENSG00000234840.2	28	0	46	0
ENSG00000284418.2	20	7	24	7
ENSG00000236739.3	0	0	0	0
ENSG00000224549.1	0	0	0	0
ENSG00000287696.1	0	0	0	0
ENSG00000283982.1	3	64	2	346
ENSG00000227607.2	0	0	0	0
ENSG00000233906.1	0	0	0	0
ENSG00000226626.2	16	0	41	0
ENSG00000107105.15	16	63	25	20
ENSG00000287843.1	16	45	0	0
ENSG00000231460.2	6	51	0	27
ENSG00000237414.2	0	0	0	38
ENSG00000277608.1	0	24	0	0
ENSG00000287139.1	0	31	64	0
ENSG00000205442.13	0	0	6	13
ENSG00000269957.6	26	11	4	7
ENSG00000223088.1	2	1	0	0
ENSG00000222693.1	0	0	6	0
ENSG00000287318.1	67	53	19	99
ENSG00000198680.6	41	16	80	0
ENSG00000236306.3	0	1	1	3
ENSG00000270683.1	14	0	0	0
ENSG00000276759.2	151	10	154	139
ENSG00000279256.1	65	1	0	74
ENSG00000254261.1	19	43	0	32
ENSG00000252580.1	0	0	0	0
ENSG00000253400.1	0	11	0	0
ENSG00000120159.13	24	34	49	0
ENSG00000232466.1	0	0	0	0
ENSG00000240306.2	1	0	0	0
ENSG00000137055.15	132	198	106	9
ENSG00000096872.17	35	1	14	4
ENSG00000234676.1	0	0	0	0
ENSG00000184434.8	0	0	0	0
ENSG00000254396.1	28	29	0	0
ENSG00000120156.22	26	0	183	15
ENSG00000223162.1	0	0	0	0
ENSG00000232867.1	0	0	0	0
ENSG00000283945.1	113	1	0	14
ENSG00000120160.11	0	31	3	25
ENSG00000120162.10	283	1	38	56
ENSG00000237734.1	0	0	0	0
ENSG00000287355.1	0	0	0	0
ENSG00000147896.4	0	0	0	0
ENSG00000285103.2	54	0	22	17
ENSG00000147894.17	7	228	3	177
ENSG00000215441.3	41	0	0	8
ENSG00000260390.1	84	0	93	0
ENSG00000260412.1	268	17	210	0
ENSG00000174482.10	93	4	75	6
ENSG00000229060.4	0	0	0	0
ENSG00000287551.1	0	0	0	0
ENSG00000224955.1	0	0	0	0
ENSG00000215966.1	0	0	0	0
ENSG00000215939.3	0	0	0	0
ENSG00000287038.2	10	94	0	55
ENSG00000230276.2	0	0	0	1
ENSG00000277646.1	41	0	3	0
ENSG00000229834.1	7	0	4	7
ENSG00000230097.2	0	1	30	9
ENSG00000280683.1	2	7	133	99
ENSG00000232060.3	0	0	0	0
ENSG00000239792.2	2	37	0	14
ENSG00000215210.3	7	1	1	1
ENSG00000235626.2	0	0	14	2
ENSG00000226246.1	52	11	0	0
ENSG00000233278.1	0	0	8	0
ENSG00000214020.3	1	23	0	0
ENSG00000228557.1	0	5	21	0
ENSG00000223421.1	0	52	0	0
ENSG00000232203.3	0	27	44	0
ENSG00000260720.1	0	15	40	0
ENSG00000226998.1	0	30	0	2
ENSG00000229080.1	0	0	0	35
ENSG00000235148.2	1	26	0	16
ENSG00000252313.1	0	0	0	0
ENSG00000225347.1	0	0	1	0
ENSG00000122729.19	3	229	501	2
ENSG00000107201.11	0	0	0	0
ENSG00000288684.1	14	7	0	16
ENSG00000197579.8	0	0	0	0
ENSG00000235453.12	0	0	0	0
ENSG00000165264.11	15	10	0	0
ENSG00000232303.2	0	0	0	0
ENSG00000122728.6	206	220	31	0
ENSG00000223440.1	2	0	43	2
ENSG00000230516.1	0	0	0	0
ENSG00000238001.2	1	0	3	12
ENSG00000230867.1	15	0	0	0
ENSG00000188133.6	65	73	1	0
ENSG00000272113.2	0	0	0	0
ENSG00000236796.1	1	0	95	68
ENSG00000231193.1	0	0	0	0
ENSG00000137074.20	87	23	14	22
ENSG00000223807.1	0	0	0	0
ENSG00000237437.1	0	0	0	0
ENSG00000236184.1	0	0	0	0
ENSG00000225693.1	0	0	0	0
ENSG00000086061.16	40	133	0	96
ENSG00000122692.9	5	183	0	1
ENSG00000086062.13	4	0	187	247
ENSG00000233554.6	144	1	0	3
ENSG00000252224.1	0	0	0	0
ENSG00000122711.9	10	32	0	39
ENSG00000107262.26	0	0	0	14
ENSG00000086065.14	1	26	0	87
ENSG00000086102.19	350	53	351	19
ENSG00000200544.1	0	0	0	0
ENSG00000165269.13	26	85	3	2
ENSG00000286322.2	3	20	26	0
ENSG00000165272.16	22	0	0	0
ENSG00000270542.1	0	0	0	0
ENSG00000165271.17	0	0	0	30
ENSG00000275651.1	0	0	0	0
ENSG00000226823.1	23	31	18	0
ENSG00000228072.1	8	11	0	1
ENSG00000230453.10	26	25	260	20
ENSG00000225123.2	0	0	0	0
ENSG00000234373.1	15	1	1	0
ENSG00000226562.4	3	6	75	14
ENSG00000204982.3	0	0	0	0
ENSG00000205274.3	15	22	3	2
ENSG00000231991.4	59	56	5	53
ENSG00000183938.5	0	9	1	0
ENSG00000234122.1	0	0	0	0
ENSG00000229063.2	0	0	0	0
ENSG00000215206.5	14	20	12	13
ENSG00000240215.4	0	22	0	2
ENSG00000237984.3	53	0	11	0
ENSG00000281128.2	0	1	150	155
ENSG00000231165.3	0	0	0	5
ENSG00000260947.1	82	0	0	152
ENSG00000287063.1	0	0	123	181
ENSG00000227301.1	0	0	49	21
ENSG00000287495.1	36	50	37	26
ENSG00000233776.5	11	2	0	7
ENSG00000010438.17	0	0	2	1
ENSG00000235481.3	12	0	40	6
ENSG00000223394.2	0	0	0	0
ENSG00000107341.5	56	8	126	123
ENSG00000200834.1	0	0	0	0
ENSG00000251748.1	0	0	0	0
ENSG00000137073.24	330	0	65	20
ENSG00000238300.1	0	0	0	0
ENSG00000238886.1	0	0	0	0
ENSG00000226801.2	0	0	0	0
ENSG00000288949.1	23	0	26	14
ENSG00000222259.1	0	4	4	6
ENSG00000228352.2	0	1	0	2
ENSG00000198876.13	1	0	22	0
ENSG00000224802.2	0	0	0	0
ENSG00000239392.2	56	19	55	2
ENSG00000165006.14	30	106	2	19
ENSG00000227383.1	0	0	0	0
ENSG00000279336.1	0	0	0	0
ENSG00000252164.1	0	0	0	0
ENSG00000233668.1	0	0	0	0
ENSG00000186638.17	2	1	0	1
ENSG00000222426.1	0	0	0	0
ENSG00000229207.1	0	0	0	0
ENSG00000164978.18	0	3	40	0
ENSG00000164976.9	0	15	343	0
ENSG00000164972.14	50	0	39	18
ENSG00000207032.1	0	0	0	0
ENSG00000164970.15	125	26	108	4
ENSG00000122735.16	1	55	29	12
ENSG00000251697.1	0	0	0	0
ENSG00000168913.7	0	0	0	0
ENSG00000230729.1	0	24	8	6
ENSG00000232983.2	0	5	12	1
ENSG00000122756.15	0	33	18	6
ENSG00000237159.6	0	0	0	0
ENSG00000164967.10	58	0	0	52
ENSG00000137100.16	14	32	0	10
ENSG00000205143.5	220	1	13	15
ENSG00000147955.18	0	46	0	0
ENSG00000213930.12	0	0	0	0
ENSG00000258728.2	43	0	52	0
ENSG00000137070.19	0	0	0	0
ENSG00000213927.4	0	0	0	0
ENSG00000261215.1	0	13	0	0
ENSG00000187186.15	0	0	0	0
ENSG00000230074.4	0	0	34	18
ENSG00000172724.12	19	0	0	0
ENSG00000288583.1	34	1	0	14
ENSG00000137077.8	0	0	0	0
ENSG00000205108.6	0	0	0	0
ENSG00000287368.1	2	0	1	0
ENSG00000257198.6	0	0	0	0
ENSG00000187791.13	2	4	7	1
ENSG00000178723.7	0	0	0	24
ENSG00000215199.3	7	0	0	9
ENSG00000122733.12	1	84	1	0
ENSG00000281491.1	0	20	30	25
